,,,,,,,
,,,,,,,
,,,,,,,
Project Number Name,Project Number,Project Name,Exe Proj Region,Project Description,Category,Charging,Project Status
 WAT.0000.ES_BASECOST.03.15: Internal Programs fo (7. Base), WAT.0000.ES_BASECOST.03.15,Internal Programs for SA,INDIA,TATA NINL densator remodelling to recover data loss model ,7. Base,Base,Active
0: MISC-373-Standardise (2. ITO),0,MISC-373-Standardise,INDIA,P&ID,2. ITO,ITO,Active
0: Vendor Audit(6. Insource Prgm),0,Vendor Audit,Common,Vendor Audit performed on the sampling basis. Verififed multiple project during the audit.,6. Insource Prgm,Base,Active
0: CFD-NAM Design Guide (4. Regional prgm),0,CFD-NAM Design Guide ,NAM,Deflector plate CFD Analysis,4. Regional prgm,Prgm,Active
0: Woodlawn LTP RO(2. ITO),0,Woodlawn LTP RO,EA/ANZ/ROW,,2. ITO,ITO,Active
0: VR SUPPORTS(6. Insource Prgm),0,VR SUPPORTS,Common,VR Team Activities,6. Insource Prgm,Prgm,Active
0: Common(7. Base),0,Common,Common,For LL,7. Base,Base,Active
00A5362A: MISC - SUEZ A-5362A (1. Backlog Project),00A5362A,MISC - SUEZ A-5362A,EGC,,1. Backlog Project,,Active
02 - 02: Pipe Line Proposal for ITO - Europe(2. ITO),02 - 02,Pipe Line Proposal for ITO - Europe,EUR,Use only for Forecasting,2. ITO,ITO,Active
02 - 04: Pipe Line Proposal for ITO - India(2. ITO),02 - 04,Pipe Line Proposal for ITO - India,INDIA,Use only for Forecasting,2. ITO,ITO,Active
02 - 06: Pipe Line Proposal for ITO - MEA(2. ITO),02 - 06,Pipe Line Proposal for ITO - MEA,MEA,Use only for Forecasting,2. ITO,ITO,Active
02 - 07: Pipe Line Proposal for ITO - NAM(2. ITO),02 - 07,Pipe Line Proposal for ITO - NAM,NAM,USE ONLY FOR FORECASTING,2. ITO,ITO,Active
02 - 09: Pipe Line Proposal for ITO - ANZ(2. ITO),02 - 09,Pipe Line Proposal for ITO - ANZ,ANZ,Use only for forecasting,2. ITO,ITO,Active
02 -10: Pipe Line Proposal for ITO - SEA(2. ITO),02 -10,Pipe Line Proposal for ITO - SEA,SEA,USE ONLY FOR FORECASTING,2. ITO,ITO,Active
45695: Pipe Line Proposal for ITO - NAM(2. ITO),02-07,Pipe Line Proposal for ITO - NAM,NAM,Use only forecasting,2. ITO,ITO,Active
065-394-4: MISC 373-6539443_Exp (1. Backlog Project),065-394-4,MISC 373-6539443_Exp,INDIA,,1. Backlog Project,,Active
1: RO SKID SINGLE BOLT CALC(NAM STANDARDIZATION)(3. Product),1,RO SKID SINGLE BOLT CALC(NAM STANDARDIZATION),NAM,"Design single bolt connection for RO skid, perform seperate beam lifting for RO housings",3. Product,Base,Active
1: Standard Spreedsheets(6. Insource Prgm),1,Standard Spreedsheets,INSOURCE,Internal Spreedsheet for Structural Analysis,6. Insource Prgm,Prgm,Active
10: QMS Support to SEA / (4. Regional prgm),10,QMS Support to SEA / ANZ,EA/ANZ/ROW,QMS Support to SEA / ANZ,4. Regional prgm,Prgm,Active
100100100100: NON PROJECT (1. Backlog Project),100100100100,NON PROJECT,,,1. Backlog Project,,Active
10101010: CAD LIBRARY SUPPORT (1. Backlog Project),10101010,CAD LIBRARY SUPPORT,,,1. Backlog Project,,Active
101010N: Highland Retail(1. Backlog Project),101010N,Highland Retail,NAM,,1. Backlog Project,Non PS Proj,Active
1026_SHN: MISC-SHINTECH 3 PHAS (1. Backlog Project),1026_SHN,MISC-SHINTECH 3 PHAS,NAM,,1. Backlog Project,,Active
10272023: CORE TEAM SANDBOX PR (1. Backlog Project),10272023,CORE TEAM SANDBOX PR,,,1. Backlog Project,,Active
1052210195: Burts Snacks DPF (3. Product),1052210195,Burts Snacks DPF,EUR,Create O&M,3. Product,PS Proj,Active
1052260151: Roundhill Actiflo (1. Backlog Project),1052260151,Roundhill Actiflo,EUR,create O&M manual  for project Roundhill Actiflo - 1052260151,1. Backlog Project,PS Proj,Active
1052260170: Worsborough Discfilter(5. Pipeline Project),1052260170,Worsborough Discfilter,EUR,Creation O&M,5. Pipeline Project,PS Proj,Active
1052260203: Horsham MBBR(5. Pipeline Project),1052260203,Horsham MBBR,EUR,O&M Creation,5. Pipeline Project,PS Proj,Active
1052260287: Keynsham MBBR (1. Backlog Project),1052260287,Keynsham MBBR,EUR,"create IOM manual.
Kronos charge code (WAT.0373.10522602.000004004435_0000_0000_000000)",1. Backlog Project,PS Proj,Active
1052260303: Branton MBBR (5. Pipeline Project),1052260303,Branton MBBR,VWT NAM,Create O&M Manual,5. Pipeline Project,PS Proj,Active
